datetime,subba,parent,value,temperature_2m,hour,day,month,day_of_week,is_weekend
2024-03-08 00:00:00+00:00,ZONK,NYIS,0.910670181550327,-0.3915,0,8,3,4,0
2024-03-08 01:00:00+00:00,ZOND,NYIS,-0.6028396851060467,-1.3414999,1,8,3,4,0
2024-03-08 02:00:00+00:00,ZONC,NYIS,0.302298568482569,-1.4914999,2,8,3,4,0
2024-03-08 03:00:00+00:00,ZONC,NYIS,0.2490551418008856,-1.5415,3,8,3,4,0
2024-03-08 04:00:00+00:00,ZOND,NYIS,-0.642990465882398,-1.5415,4,8,3,4,0
2024-03-08 05:00:00+00:00,ZOND,NYIS,-0.641244779761687,-1.6415,5,8,3,4,0
2024-03-08 06:00:00+00:00,ZONC,NYIS,0.0945619201179686,-1.6415,6,8,3,4,0
2024-03-08 07:00:00+00:00,ZOND,NYIS,-0.6368805644599097,-0.1415,7,8,3,4,0
2024-03-08 08:00:00+00:00,ZOND,NYIS,-0.6360077213995543,1.7085,8,8,3,4,0
2024-03-08 09:00:00+00:00,ZOND,NYIS,-0.6333891922184879,3.7585,9,8,3,4,0
2024-03-08 10:00:00+00:00,ZOND,NYIS,-0.631643506097777,5.3085,10,8,3,4,0
2024-03-08 11:00:00+00:00,ZOND,NYIS,-0.6159323310113787,6.2584996,11,8,3,4,0
2024-03-08 12:00:00+00:00,ZONH,NYIS,-0.9511040661878766,7.0585,12,8,3,4,0
2024-03-08 13:00:00+00:00,ZOND,NYIS,-0.6045853712267576,7.5084996,13,8,3,4,0
2024-03-08 14:00:00+00:00,ZOND,NYIS,-0.6176780171320896,7.6584997,14,8,3,4,0
2024-03-08 15:00:00+00:00,ZOND,NYIS,-0.6342620352788434,7.4585,15,8,3,4,0
2024-03-08 16:00:00+00:00,ZOND,NYIS,-0.6499732103652417,6.6584997,16,8,3,4,0
2024-03-08 17:00:00+00:00,ZOND,NYIS,-0.6560831117877299,4.9084997,17,8,3,4,0
2024-03-08 18:00:00+00:00,ZOND,NYIS,-0.6552102687273745,3.8585,18,8,3,4,0
2024-03-08 19:00:00+00:00,ZOND,NYIS,-0.6578287979084408,3.2085001,19,8,3,4,0
2024-03-08 20:00:00+00:00,ZONC,NYIS,-0.1192846296691199,2.6585,20,8,3,4,0
2024-03-08 21:00:00+00:00,ZOND,NYIS,-0.6691757576930619,2.1085,21,8,3,4,0
2024-03-08 22:00:00+00:00,ZONC,NYIS,0.097180449299035,1.6085,22,8,3,4,0
2024-03-08 23:00:00+00:00,ZOND,NYIS,-0.6438633089427535,1.2085,23,8,3,4,0
2024-03-09 00:00:00+00:00,ZOND,NYIS,-0.631643506097777,0.8585,0,9,3,5,1
2024-03-09 01:00:00+00:00,ZOND,NYIS,-0.631643506097777,0.6585,1,9,3,5,1
2024-03-09 02:00:00+00:00,ZOND,NYIS,-0.6351348783391988,0.3585,2,9,3,5,1
2024-03-09 03:00:00+00:00,ZONC,NYIS,0.1696264233085385,0.108500004,3,9,3,5,1
2024-03-09 04:00:00+00:00,ZONC,NYIS,0.1094002521440115,-0.041500002,4,9,3,5,1
2024-03-09 05:00:00+00:00,ZONA,NYIS,0.14431397455823,-0.1415,5,9,3,5,1
2024-03-09 06:00:00+00:00,ZOND,NYIS,-0.6621930132102182,0.108500004,6,9,3,5,1
2024-03-09 07:00:00+00:00,ZONC,NYIS,-0.0346188528146399,1.6085,7,9,3,5,1
2024-03-09 08:00:00+00:00,ZOND,NYIS,-0.6578287979084408,3.6085,8,9,3,5,1
2024-03-09 09:00:00+00:00,ZONC,NYIS,-0.0398559111767727,5.6584997,9,9,3,5,1
2024-03-09 10:00:00+00:00,ZOND,NYIS,-0.6709214438137728,7.5084996,10,9,3,5,1
2024-03-09 11:00:00+00:00,ZONA,NYIS,0.0963076062386795,9.0085,11,9,3,5,1
2024-03-09 12:00:00+00:00,ZONH,NYIS,-0.9860177886020952,9.2085,12,9,3,5,1
2024-03-09 13:00:00+00:00,ZONA,NYIS,0.1722449524896049,9.3585005,13,9,3,5,1
2024-03-09 14:00:00+00:00,ZOND,NYIS,-0.6377534075202652,8.8585005,14,9,3,5,1
2024-03-09 15:00:00+00:00,ZONF,NYIS,-0.200459034282178,9.1085005,15,9,3,5,1
2024-03-09 16:00:00+00:00,ZONC,NYIS,0.204540145722757,8.5085,16,9,3,5,1
2024-03-09 17:00:00+00:00,ZONC,NYIS,0.2254883791712881,7.2584996,17,9,3,5,1
2024-03-09 18:00:00+00:00,ZOND,NYIS,-0.6298978199770661,5.7085,18,9,3,5,1
2024-03-09 19:00:00+00:00,ZOND,NYIS,-0.6229150754942223,5.2085,19,9,3,5,1
2024-03-09 20:00:00+00:00,ZOND,NYIS,-0.607203900407824,4.5585,20,9,3,5,1
2024-03-09 21:00:00+00:00,ZOND,NYIS,-0.6010939989853358,4.3085,21,9,3,5,1
2024-03-09 22:00:00+00:00,ZONC,NYIS,0.3206282727500337,4.1085,22,9,3,5,1
2024-03-09 23:00:00+00:00,ZOND,NYIS,-0.6176780171320896,3.9585001,23,9,3,5,1
2024-03-10 00:00:00+00:00,ZONH,NYIS,-0.8961149533854824,3.8085,0,10,3,6,1
2024-03-10 01:00:00+00:00,ZOND,NYIS,-0.6124409587699567,3.7085001,1,10,3,6,1
2024-03-10 02:00:00+00:00,ZOND,NYIS,-0.6080767434681794,3.6585,2,10,3,6,1
2024-03-10 03:00:00+00:00,ZOND,NYIS,-0.6176780171320896,3.5585,3,10,3,6,1
2024-03-10 04:00:00+00:00,ZONC,NYIS,0.168753580248183,3.3585,4,10,3,6,1
2024-03-10 05:00:00+00:00,ZOND,NYIS,-0.654337425667019,3.1585,5,10,3,6,1
2024-03-10 06:00:00+00:00,ZOND,NYIS,-0.6368805644599097,3.3085,6,10,3,6,1
2024-03-10 07:00:00+00:00,ZONC,NYIS,0.05004692403984,5.0084996,7,10,3,6,1
2024-03-10 08:00:00+00:00,ZONC,NYIS,0.0325900628327307,6.9585,8,10,3,6,1
2024-03-10 09:00:00+00:00,ZOND,NYIS,-0.6342620352788434,9.0585,9,10,3,6,1
2024-03-10 10:00:00+00:00,ZOND,NYIS,-0.6368805644599097,10.7585,10,10,3,6,1
2024-03-10 11:00:00+00:00,ZOND,NYIS,-0.6333891922184879,11.6085005,11,10,3,6,1
2024-03-10 12:00:00+00:00,ZONH,NYIS,-0.987763474722806,11.9585,12,10,3,6,1
2024-03-10 13:00:00+00:00,ZONI,NYIS,-0.7555872206682528,11.8085,13,10,3,6,1
