datetime,subba,parent,value,temperature_2m
2024-03-08 00:00:00+00:00,ZONK,NYIS,2436,-0.3915
2024-03-08 00:00:00+00:00,ZONE,NYIS,903,-0.3915
2024-03-08 00:00:00+00:00,ZOND,NYIS,680,-0.3915
2024-03-08 00:00:00+00:00,ZONC,NYIS,1811,-0.3915
2024-03-08 00:00:00+00:00,ZONF,NYIS,1408,-0.3915
2024-03-08 00:00:00+00:00,ZONB,NYIS,1172,-0.3915
2024-03-08 00:00:00+00:00,ZONA,NYIS,1869,-0.3915
2024-03-08 00:00:00+00:00,ZONJ,NYIS,5839,-0.3915
2024-03-08 00:00:00+00:00,ZONI,NYIS,688,-0.3915
2024-03-08 00:00:00+00:00,ZONH,NYIS,350,-0.3915
2024-03-08 00:00:00+00:00,ZONG,NYIS,1188,-0.3915
2024-03-08 01:00:00+00:00,ZOND,NYIS,702,-1.3414999
2024-03-08 01:00:00+00:00,ZONC,NYIS,1802,-1.3414999
2024-03-08 01:00:00+00:00,ZONE,NYIS,904,-1.3414999
2024-03-08 01:00:00+00:00,ZONB,NYIS,1176,-1.3414999
2024-03-08 01:00:00+00:00,ZONA,NYIS,1880,-1.3414999
2024-03-08 01:00:00+00:00,ZONF,NYIS,1394,-1.3414999
2024-03-08 01:00:00+00:00,ZONK,NYIS,2395,-1.3414999
2024-03-08 01:00:00+00:00,ZONJ,NYIS,5725,-1.3414999
2024-03-08 01:00:00+00:00,ZONI,NYIS,674,-1.3414999
2024-03-08 01:00:00+00:00,ZONG,NYIS,1182,-1.3414999
2024-03-08 01:00:00+00:00,ZONH,NYIS,350,-1.3414999
2024-03-08 02:00:00+00:00,ZONC,NYIS,1739,-1.4914999
2024-03-08 02:00:00+00:00,ZOND,NYIS,699,-1.4914999
2024-03-08 02:00:00+00:00,ZONE,NYIS,869,-1.4914999
2024-03-08 02:00:00+00:00,ZONB,NYIS,1144,-1.4914999
2024-03-08 02:00:00+00:00,ZONA,NYIS,1833,-1.4914999
2024-03-08 02:00:00+00:00,ZONF,NYIS,1343,-1.4914999
2024-03-08 02:00:00+00:00,ZONK,NYIS,2314,-1.4914999
2024-03-08 02:00:00+00:00,ZONJ,NYIS,5540,-1.4914999
2024-03-08 02:00:00+00:00,ZONI,NYIS,657,-1.4914999
2024-03-08 02:00:00+00:00,ZONG,NYIS,1153,-1.4914999
2024-03-08 02:00:00+00:00,ZONH,NYIS,332,-1.4914999
2024-03-08 03:00:00+00:00,ZONC,NYIS,1678,-1.5415
2024-03-08 03:00:00+00:00,ZOND,NYIS,681,-1.5415
2024-03-08 03:00:00+00:00,ZONE,NYIS,818,-1.5415
2024-03-08 03:00:00+00:00,ZONF,NYIS,1262,-1.5415
2024-03-08 03:00:00+00:00,ZONA,NYIS,1781,-1.5415
2024-03-08 03:00:00+00:00,ZONB,NYIS,1095,-1.5415
2024-03-08 03:00:00+00:00,ZONI,NYIS,631,-1.5415
2024-03-08 03:00:00+00:00,ZONK,NYIS,2186,-1.5415
2024-03-08 03:00:00+00:00,ZONJ,NYIS,5341,-1.5415
2024-03-08 03:00:00+00:00,ZONG,NYIS,1105,-1.5415
2024-03-08 03:00:00+00:00,ZONH,NYIS,311,-1.5415
2024-03-08 04:00:00+00:00,ZOND,NYIS,656,-1.5415
2024-03-08 04:00:00+00:00,ZONE,NYIS,789,-1.5415
2024-03-08 04:00:00+00:00,ZONC,NYIS,1611,-1.5415
